pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
2,58,0,0,138,8,1,0,0,0,0,51,1,0,2,265,400,1,1,34,4,0,15,0,0,28,173,172,0,2,1,21,0,1,0,40,74,0,8,81,68,59,98,4,0,0,1,107,313,80,66,0,0,0,0,2,0,0,76,508,263,92,1,0,13,0,0,1,0,185,359,468,88,1,0,2,0,2,0,1,310,180,338,177,2,0,18,0,1,0,0,42,107,394,125,0,0,1,1,1,0,0,104,202,128,207,1,0,1,0,0,4,0,166,89,173,93,0,0,2,0,2,3,43,217,392,80,313,142,0,1,0,0,1,1,257,85,0,522,165,0,0,1,0,0,26,234,51,22,203,39,1,0,0,0,0,0,100,2,0,174,5,0,0,0,1,1,49,528,5,0,129,61,0,0,0,0,0,1,32,0,1,0,15,1,43,2,0,0,0,2,0,0,11,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,3
2,58,0,0,138,8,1,0,0,0,0,51,1,0,2,265,400,1,1,34,4,0,15,0,0,28,173,172,0,2,1,21,0,1,0,40,74,0,8,81,68,59,98,4,0,0,1,107,313,80,66,0,0,0,0,2,0,0,76,508,263,92,1,0,13,0,0,1,0,185,359,468,88,1,0,2,0,2,0,1,310,180,338,177,2,0,18,0,1,0,0,42,107,394,125,0,0,1,1,1,0,0,104,202,128,207,1,0,1,0,0,4,0,166,89,173,93,0,0,2,0,2,3,43,217,392,80,313,142,0,1,0,0,1,1,257,85,0,522,165,0,0,1,0,0,26,234,51,22,203,39,1,0,0,0,0,0,100,2,0,174,5,0,0,0,1,1,49,528,5,0,129,61,0,0,0,0,0,1,32,0,1,0,15,1,43,2,0,0,0,2,0,0,11,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
2,54,0,0,120,6,0,0,0,0,1,48,0,2,0,251,382,0,0,32,2,0,14,0,0,29,174,143,0,0,1,21,0,0,1,46,82,0,10,86,23,52,99,0,0,1,0,111,337,102,101,0,0,1,2,4,0,0,76,495,268,94,7,0,12,0,1,0,0,178,354,444,90,0,0,2,2,0,1,0,283,175,344,185,0,0,19,1,1,0,0,35,113,410,125,0,0,0,4,0,0,0,100,198,134,226,2,0,0,0,1,8,1,147,91,177,94,0,1,1,0,0,1,44,227,399,69,323,136,0,2,0,0,0,6,266,96,2,509,148,1,0,1,0,0,28,232,58,26,214,42,0,2,0,1,0,2,110,0,0,176,7,0,0,0,0,0,60,540,7,1,153,68,0,0,1,0,1,0,22,0,0,0,24,0,42,0,0,0,0,0,0,1,15,8,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3
4,61,0,0,107,8,0,0,0,0,4,47,0,1,0,257,392,0,0,29,2,0,17,0,0,26,178,160,1,0,0,20,0,5,2,44,81,0,11,80,33,57,102,1,0,0,0,104,335,108,93,0,0,0,1,1,2,0,80,482,256,102,0,0,10,1,1,0,0,183,365,474,92,0,0,0,0,0,0,0,275,184,358,194,1,0,21,2,0,0,1,49,125,420,130,0,2,0,1,0,0,0,101,223,120,207,0,0,0,1,2,6,0,160,98,158,85,1,0,0,0,0,0,47,207,411,78,303,137,1,2,0,0,0,15,264,102,20,485,145,0,0,0,0,1,32,221,54,24,217,41,0,0,0,0,1,0,103,2,0,185,6,1,0,0,0,1,74,548,6,0,143,64,0,0,0,0,0,0,30,0,0,1,21,0,45,1,0,0,0,1,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3
