average value,histogram variance,y axis variance,pressure value ratio as 3,points ratio as 3,target
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
246.1818182,53504.5124,2.049840108,0.908,0.697,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
247.3333333,52754.10101,2.042143891,0.907,0.727,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
278.4444444,54760.30247,6.538904673,0.709,0.583,0
254.05,54830.1475,6.579455412,0.722,0.6,0
254.05,54830.1475,6.579455412,0.722,0.6,0
254.05,54830.1475,6.579455412,0.722,0.6,0
254.05,54830.1475,6.579455412,0.722,0.6,0
254.05,54830.1475,6.579455412,0.722,0.6,0
254.05,54830.1475,6.579455412,0.722,0.6,0
254.05,54830.1475,6.579455412,0.722,0.6,0
265.3421053,55686.75139,6.650019477,0.72,0.579,0
265.3421053,55686.75139,6.650019477,0.72,0.579,0
265.3421053,55686.75139,6.650019477,0.72,0.579,0
265.3421053,55686.75139,6.650019477,0.72,0.579,0
265.3421053,55686.75139,6.650019477,0.72,0.579,0
265.3421053,55686.75139,6.650019477,0.72,0.579,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
272.972973,55600.62089,6.578951436,0.722,0.595,0
253.175,56231.04438,6.592668352,0.722,0.575,0
253.175,56231.04438,6.592668352,0.722,0.575,0
253.175,56231.04438,6.592668352,0.722,0.575,0
253.175,56231.04438,6.592668352,0.722,0.575,0
253.175,56231.04438,6.592668352,0.722,0.575,0
253.175,56231.04438,6.592668352,0.722,0.575,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
263.5789474,54075.92798,6.532536191,0.731,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.4736842,55012.19668,6.572356525,0.744,0.605,0
267.6842105,55549.37396,6.657277099,0.726,0.579,0
267.6842105,55549.37396,6.657277099,0.726,0.579,0
267.6842105,55549.37396,6.657277099,0.726,0.579,0
267.6842105,55549.37396,6.657277099,0.726,0.579,0
267.6842105,55549.37396,6.657277099,0.726,0.579,0
267.6842105,55549.37396,6.657277099,0.726,0.579,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
276.027027,55092.24251,6.670301027,0.726,0.595,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
263.0512821,55589.58711,6.748338512,0.74,0.59,0
272.2162162,55286.54785,6.417089411,0.74,0.622,0
272.2162162,55286.54785,6.417089411,0.74,0.622,0
272.2162162,55286.54785,6.417089411,0.74,0.622,0
272.2162162,55286.54785,6.417089411,0.74,0.622,0
272.2162162,55286.54785,6.417089411,0.74,0.622,0
272.2162162,55286.54785,6.417089411,0.74,0.622,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.1891892,55021.66691,6.577638488,0.728,0.595,0
278.2432432,55387.31921,6.544877451,0.728,0.595,0
278.2432432,55387.31921,6.544877451,0.728,0.595,0
278.2432432,55387.31921,6.544877451,0.728,0.595,0
278.2432432,55387.31921,6.544877451,0.728,0.595,0
278.2432432,55387.31921,6.544877451,0.728,0.595,0
278.2432432,55387.31921,6.544877451,0.728,0.595,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
272.2894737,55506.88989,6.592363532,0.726,0.579,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
280.2162162,55127.68298,6.66344025,0.726,0.595,0
264.4193548,71855.72737,1.758780282,0.858,0.742,0
272,64999.2,1.81225777,0.84,0.7,0
272,64999.2,1.81225777,0.84,0.7,0
272,64999.2,1.81225777,0.84,0.7,0
272,64999.2,1.81225777,0.84,0.7,0
272,64999.2,1.81225777,0.84,0.7,0
272,64999.2,1.81225777,0.84,0.7,0
272,64999.2,1.81225777,0.84,0.7,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
270.1612903,75135.87721,1.740181015,0.872,0.774,0
277.25,79542.11607,1.694766288,0.885,0.75,0
277.25,79542.11607,1.694766288,0.885,0.75,0
277.25,79542.11607,1.694766288,0.885,0.75,0
277.25,79542.11607,1.694766288,0.885,0.75,0
277.25,79542.11607,1.694766288,0.885,0.75,0
277.25,79542.11607,1.694766288,0.885,0.75,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
281.5925926,78019.87106,1.662885482,0.874,0.778,0
255.88,60986.0256,1.745446471,0.852,0.76,0
255.88,60986.0256,1.745446471,0.852,0.76,0
255.88,60986.0256,1.745446471,0.852,0.76,0
255.88,60986.0256,1.745446471,0.852,0.76,0
255.88,60986.0256,1.745446471,0.852,0.76,0
255.88,60986.0256,1.745446471,0.852,0.76,0
255.88,60986.0256,1.745446471,0.852,0.76,0
258.8214286,70499.50383,1.658350713,0.893,0.786,0
258.8214286,70499.50383,1.658350713,0.893,0.786,0
258.8214286,70499.50383,1.658350713,0.893,0.786,0
258.8214286,70499.50383,1.658350713,0.893,0.786,0
258.8214286,70499.50383,1.658350713,0.893,0.786,0
258.8214286,70499.50383,1.658350713,0.893,0.786,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
280.1785714,70243.21811,1.895640885,0.862,0.75,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
254.8275862,68799.72889,1.636895194,0.879,0.759,0
241.5172414,63095.14625,1.640989843,0.872,0.724,0
241.5172414,63095.14625,1.640989843,0.872,0.724,0
241.5172414,63095.14625,1.640989843,0.872,0.724,0
241.5172414,63095.14625,1.640989843,0.872,0.724,0
241.5172414,63095.14625,1.640989843,0.872,0.724,0
241.5172414,63095.14625,1.640989843,0.872,0.724,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
253.8214286,70308.64668,1.616132815,0.873,0.714,0
237.1724138,64494.76338,1.603701081,0.873,0.759,0
237.1724138,64494.76338,1.603701081,0.873,0.759,0
237.1724138,64494.76338,1.603701081,0.873,0.759,0
237.1724138,64494.76338,1.603701081,0.873,0.759,0
237.1724138,64494.76338,1.603701081,0.873,0.759,0
237.1724138,64494.76338,1.603701081,0.873,0.759,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
236.5517241,63415.97146,1.632519698,0.861,0.724,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
247.3928571,63015.95281,1.576224192,0.877,0.75,0
232.2333333,62153.04556,1.650846929,0.881,0.733,0
232.2333333,62153.04556,1.650846929,0.881,0.733,0
232.2333333,62153.04556,1.650846929,0.881,0.733,0
232.2333333,62153.04556,1.650846929,0.881,0.733,0
232.2333333,62153.04556,1.650846929,0.881,0.733,0
232.2333333,62153.04556,1.650846929,0.881,0.733,0
240.4482759,49611.4887,1.959952392,0.847,0.724,0
240.4482759,49611.4887,1.959952392,0.847,0.724,0
240.4482759,49611.4887,1.959952392,0.847,0.724,0
240.4482759,49611.4887,1.959952392,0.847,0.724,0
240.4482759,49611.4887,1.959952392,0.847,0.724,0
240.4482759,49611.4887,1.959952392,0.847,0.724,0
